,STATE OR UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls 
0,ANDHRA PRADESH,ANANTAPUR,2015,32,57,12,325,8,276,0
1,ANDHRA PRADESH,CHITTOOR,2015,31,20,10,94,1,202,0
2,ANDHRA PRADESH,CUDDAPAH,2015,34,17,6,211,82,317,0
3,ANDHRA PRADESH,EAST GODAVARI,2015,104,25,13,574,150,522,0
4,ANDHRA PRADESH,GUNTAKAL RAILWAY,2015,1,0,0,0,0,0,0
5,ANDHRA PRADESH,GUNTUR,2015,67,42,13,298,338,483,0
6,ANDHRA PRADESH,GUNTUR URBAN,2015,34,68,11,159,217,333,0
7,ANDHRA PRADESH,KRISHNA,2015,77,19,17,422,200,575,0
8,ANDHRA PRADESH,KURNOOL,2015,40,34,19,479,557,400,0
9,ANDHRA PRADESH,NELLORE,2015,69,64,5,314,132,422,0
10,ANDHRA PRADESH,PRAKASHAM,2015,67,44,10,276,12,427,0
11,ANDHRA PRADESH,RAJAHMUNDRY,2015,29,16,1,120,56,207,0
12,ANDHRA PRADESH,SRIKAKULAM,2015,47,28,6,119,21,214,0
13,ANDHRA PRADESH,TIRUPATHI URBAN,2015,20,16,7,40,22,106,0
14,ANDHRA PRADESH,VIJAYAWADA CITY,2015,53,26,11,196,123,181,0
15,ANDHRA PRADESH,VIJAYAWADA RAILWAY,2015,2,0,1,7,8,0,0
16,ANDHRA PRADESH,VISAKHA RURAL,2015,39,23,3,107,43,128,0
17,ANDHRA PRADESH,VISAKHAPATNAM,2015,87,126,7,257,9,383,0
18,ANDHRA PRADESH,VIZIANAGARAM,2015,34,11,5,191,91,282,0
19,ANDHRA PRADESH,WEST GODAVARI,2015,160,48,17,427,130,663,0
20,ANDHRA PRADESH,TOTAL DISTRICT(S),2015,1027,684,174,4616,2200,6121,0
21,ARUNACHAL PRADESH,ANJAW,2015,0,0,0,0,0,0,0
22,ARUNACHAL PRADESH,CHANGLANG,2015,5,7,0,5,0,4,0
23,ARUNACHAL PRADESH,CRIME BRANCH,2015,1,0,0,0,0,0,0
24,ARUNACHAL PRADESH,DIBANG VALLEY,2015,0,0,0,1,0,0,0
25,ARUNACHAL PRADESH,KAMENG EAST,2015,4,1,0,7,0,0,0
26,ARUNACHAL PRADESH,KAMENG WEST,2015,1,3,0,5,0,1,0
27,ARUNACHAL PRADESH,KURUNG KUMEY,2015,2,3,0,0,0,0,0
28,ARUNACHAL PRADESH,LOHIT,2015,6,21,0,12,0,4,0
29,ARUNACHAL PRADESH,LONGDING,2015,0,0,0,0,0,0,0
30,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2015,1,6,0,3,0,0,0
31,ARUNACHAL PRADESH,PAPUM PARE CITY,2015,17,62,0,25,2,30,0
